2,7,25
6,11,7
4,4,9
8,6,22
4,13,13
3,6,7
4,6,17
5,5,27
3,9,17
3,7,28
8,18,14
5,7,24
3,5,27
8,139,1
6,18,6
8,5,37
7,7,9
5,5,28
5,6,8
8,7,14
7,15,2
7,7,22
6,17,10
8,17,11
4,4,5
3,7,35
6,5,18
4,5,38
8,5,27
5,31,7
6,16,13
5,8,25
1,7,12
9,16,3
5,14,2
3,6,29
4,4,37
4,5,48
6,11,2
2,8,17
8,96,5
7,142,1
5,6,43
9,26,5
2,11,20
5,15,11
7,5,32
4,5,24
8,33,7
3,4,29
6,6,34
9,15,17
3,6,22
8,5,23
8,4,38
4,5,18
5,5,28
1,8,25
6,19,8
4,143,1
9,11,22
3,5,28
4,6,10
5,15,10
4,10,25
4,10,9
2,14,4
5,13,21
3,11,30
2,7,26
8,18,4
4,5,6
6,15,6
5,145,1
3,5,36
7,6,10
6,5,19
4,13,2
8,5,28
6,17,5
7,6,3
7,6,23
4,16,5
2,18,9
8,3,39
4,8,14
7,4,33
6,5,3
3,8,18
5,10,6
9,3,23
6,14,16
9,4,18
2,11,22
3,4,23
4,13,27
5,5,12
6,10,35
4,7,39
4,5,25
3,5,30
8,17,15
5,6,44
5,7,3
10,148,1
3,3,37
2,6,21
4,7,49
5,5,29
3,4,31
6,19,3
3,5,29
8,9,12
5,13,22
4,5,26
4,12,21
8,10,15
4,6,19
6,6,9
5,9,8
2,5,27
6,3,17
6,10,11
6,5,7
5,19,9
5,11,29
4,3,26
8,8,8
8,13,17
1,7,26
3,3,31
7,5,24
7,151,1
5,12,25
8,8,24
1,10,13
8,5,40
